will-grace	series	Will & Grace	1998	22	8	Comedy	TV-14	Hulu on Disney+	3	5	comedic|witty|gentle	0	en	/aEaYdyHcpHN3fIXHhXHtXOs8Rtk.jpg	4454	Will Truman and Grace Adler are best friends living in New York, and when Grace's engagement falls a
new-girl	series	New Girl	2011	22	7	Comedy	TV-14	Hulu on Disney+	3	5	comedic|witty|gentle	0	en	/8oCqMlKKomCArVtyOjRzMN6g40Z.jpg	1420	Jessica Day is an offbeat and adorable girl in her late 20s who, after a bad breakup, moves in with
30-rock	series	30 Rock	2006	22	7	Comedy	TV-14	Hulu on Disney+	3	5	comedic|witty|gentle|rewatchable	0	en	/eYYQWACx7ttUzRwTNYuo6zveqpE.jpg	4608	Liz Lemon, the head writer for a late-night TV variety show in New York, tries to juggle all the ego
the-nanny	series	The Nanny	1993	24	6	Comedy|Family	TV-PG	Hulu on Disney+	3	5	comedic|gentle|witty|rewatchable	1	en	/4syShXMjaPAP3mG81ekhruv94sd.jpg	2352	That flashy girl from Flushing with the heart of an angel (and the voice of a slighty more nasal ang
veronica-mars	series	Veronica Mars	2004	42	4	Mystery|Drama|Comedy	TV-14	Hulu on Disney+	2	5	cerebral|slow-burn|emotional|comedic|rewatchable	0	en	/vOdJETEueGgUqJR4UvwTdUoJhvO.jpg	1432	In the fictional town of Neptune, California, student Veronica Mars progresses from high school to c
black-ish	series	black-ish	2014	23	8	Comedy	TV-14	Disney	3	5	comedic|witty|gentle	0	en	/ga1zJ6UejPIfyL8BA22pK6dqsC8.jpg	61381	A family man struggles to gain a sense of cultural identity while raising his kids in a predominantl
bewitched	series	Bewitched	1964	25	8	Sci-Fi|Fantasy|Comedy|Family|Drama	TV-G	Hulu on Disney+	2	5	comedic|gentle|emotional|witty|classic|rewatchable	1	en	/7UZVO1SclbgVWM2ELrwWGaS7i94.jpg	4482	Samantha Stephens is a seemingly normal suburban housewife who also happens to be a genuine witch, w
csi-crime-scene-investigation	series	CSI: Crime Scene Investigation	2000	43	15	Crime|Drama|Mystery	TV-14	Hulu on Disney+	4	1	grim|emotional|cerebral|slow-burn|bleak|rewatchable	0	en	/i5hmoRjHNWady4AtAGICTUXknKH.jpg	1431	A Las Vegas team of forensic investigators are trained to solve criminal cases by scouring the crime
house	series	House	2004	44	8	Drama	TV-14	Hulu on Disney+	3	3	emotional|rewatchable	0	en	/3Cz7ySOQJmqiuTdrc6CY0r65yDI.jpg	1408	Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of dia
csi-miami	series	CSI: Miami	2002	42	10	Drama|Mystery|Crime	TV-14	Hulu on Disney+	3	3	emotional|cerebral|slow-burn|grim|rewatchable	0	en	/pNW64pjaHvf6purNaFhq4SHYRfl.jpg	1620	The show follows Crime Scene Investigators working for the Miami-Dade Police Department as they use
smallville	series	Smallville	2001	43	10	Sci-Fi|Fantasy|Action|Adventure|Drama	TV-14	Hulu on Disney+	4	3	tense|emotional|rewatchable	0	en	/mHZSq8LA5Dt48JjaOZ5tcPXQRVN.jpg	4604	The origins of the world’s greatest hero–from Krypton refugee Kal-el’s arrival on Earth through his
24	series	24	2001	45	9	Action|Adventure|Drama|Crime	TV-14	Star	4	3	tense|emotional|grim|rewatchable	0	en	/iq6yrZ5LEDXf1ArCOYLq8PIUBpV.jpg	1973	Counterterrorism agent Jack Bauer fights the bad guys of the world, a day at a time. With each week'
one-tree-hill	series	One Tree Hill	2003	42	9	Drama	TV-14	Hulu on Disney+	2	4	emotional|rewatchable	0	en	/sOrelBaAhp7DZbPTivDwKEyPslC.jpg	269	In Tree Hill, North Carolina two half brothers share a last name and nothing else. Brooding, blue-co
once-upon-a-time	series	Once Upon a Time	2011	43	7	Drama|Sci-Fi|Fantasy	TV-PG	Disney	3	3	emotional	0	en	/u95scYysMZvBoekSLmMNJjeqXcY.jpg	39272	There is a town in Maine where every story book character you've ever known is trapped between two w
elementary	series	Elementary	2012	43	7	Drama|Mystery|Crime	TV-14	Hulu on Disney+	3	3	emotional|cerebral|slow-burn|grim|rewatchable	0	en	/q9dObe29W4bDpgzUfOOH3ZnzDbR.jpg	1415	A modern-day drama about a crime-solving duo that cracks the NYPD's most impossible cases. Following
er	series	ER	1994	45	15	Drama	TV-14	Hulu on Disney+	3	4	emotional|music-forward|rewatchable	0	en	/fuS63AoFTkprf8PFeL1f8z68zJr.jpg	4588	ER explores the inner workings of an urban teaching hospital and the critical issues faced by the de
agatha-christie-s-poirot	series	Agatha Christie's Poirot	1989	50	13	Crime|Drama|Mystery	TV-PG	Hulu on Disney+	3	3	grim|emotional|cerebral|slow-burn|classic|rewatchable	0	en	/6f4IVfbn8knb7RjdZlGLuW5guDc.jpg	790	From England to Egypt, accompanied by his elegant and trustworthy sidekicks, the intelligent yet ecc
the-strain	series	The Strain	2014	44	4	Sci-Fi|Fantasy|Drama|Mystery	TV-MA	Star	4	2	emotional|cerebral|slow-burn|tense|nail-biting|rewatchable	0	en	/2BWErT9QcADpf2G4BZ769eSnFTP.jpg	47640	A high concept thriller that tells the story of Dr. Ephraim Goodweather, the head of the Center for
ancient-aliens	series	Ancient Aliens	2010	42	22	Documentary|Mystery|Sci-Fi|Fantasy	TV-PG	Disney	3	3	cerebral|slow-burn	0	en	/6X2hftdC8y78SKMSgfzeUItqaVq.jpg	32608	Did intelligent beings from outer space visit Earth thousands of years ago? From the age of the dino
mythbusters	series	MythBusters	2003	43	16	Documentary	TV-PG	Disney	3	2	cerebral|tense|nail-biting|rewatchable	0	en	/lvRnMu00NLGiTPijGZg9CRF3nuY.jpg	1428	MythBusters is a science entertainment television program created and produced by Australia's Beyond
marvel-studios-legends	series	Marvel Studios Legends	2021	8	2	Documentary|Action|Adventure|Sci-Fi|Fantasy	TV-14	Marvel	4	3	cerebral|tense|gentle	0	en	/EpDuYIK81YtCUT3gH2JDpyj8Qk.jpg	114695	Revisit the epic heroes, villains and moments from across the MCU in preparation for the stories sti
obi-wan-kenobi-a-jedi-s-return	movie	Obi-Wan Kenobi: A Jedi's Return	2022	60	0	Documentary	PG-13	Star Wars	2	3	cerebral	0	en	/vQGgvXjoMZf8x1m3BHsMxVXPyck.jpg	1015606	This special explores the return of Obi-Wan Kenobi and Anakin Skywalker to the screen, as well as Ew
fire-of-love	movie	Fire of Love	2022	94	0	Documentary	PG	Disney	1	4	cerebral|gentle|rewatchable	0	en	/9smEX8UP84yb2GisLwyAyQKvCWS.jpg	913823	A doomed love triangle between intrepid French scientists Katia and Maurice Krafft, and their belove
the-pixar-story	movie	The Pixar Story	2007	87	0	Documentary		Disney	2	3	cerebral|rewatchable	0	en	/vhK51wJybwZTRCPVUOkGpSI4auN.jpg	15302	A look at the first years of Pixar Animation Studios - from the success of "Toy Story" and Pixar's p
into-the-unknown-making-frozen-ii	series	Into the Unknown: Making Frozen II	2020	33	1	Documentary	TV-PG	Disney	2	3	cerebral	0	en	/UcbjmltlDTxoZvTSPbQtUBeZEo.jpg	103465	The team behind Frozen II open their doors to cameras for a six-part documentary series to reveal th
welcome-to-earth	series	Welcome to Earth	2021	44	1	Documentary	TV-PG	Disney	1	4	cerebral|gentle|rewatchable	0	en	/l9x6xh4KCgwMk9PYiosXXFGwI3a.jpg	127700	Will Smith whose curiosity and wonder is positively infectious—is guided by National Geographic Expl
before-the-flood	movie	Before the Flood	2016	93	0	Documentary	PG	National Geographic	2	3	cerebral|rewatchable	0	en	/2fFTLaLbm8Ak7JBSYQ8Mb3jcFx9.jpg	410718	A look at how climate change affects our environment and what society can do to prevent the demise o
summer-of-soul-or-when-the-revolution-could-not-	movie	Summer of Soul (...Or, When the Revolution Could Not Be Televised)	2021	117	0	Music|Documentary|History	PG-13	Disney	2	5	music-forward|cerebral|rewatchable	0	en	/8kNwhqUGvpzWJd60O1Qvb8G6psK.jpg	776527	During the same summer as Woodstock, over 300,000 people attended the Harlem Cultural Festival, cele
african-cats	movie	African Cats	2011	89	0	Documentary|Adventure	G	Disney	2	5	cerebral|gentle	1	en	/nERPMF2kHjc1slLHZYZGwcWX9kg.jpg	57586	African Cats captures the real-life love, humor and determination of the majestic kings of the savan
heartland	series	Heartland	2007	45	20	Family|Drama|Comedy	TV-PG	Hulu on Disney+	3	4	gentle|emotional|comedic|rewatchable	1	en	/uc2gtWczT58BiAUJWFz9P5aZmNF.jpg	14929	Life is hard on the Flemings' ranch in the Alberta foothills where abused or neglected horses find r
we-bare-bears	series	We Bare Bears	2015	11	4	Animation|Comedy|Family	TV-Y7	Hulu on Disney+	3	5	comedic|gentle|rewatchable	1	en	/3xWzlLZ0kAD6SkVZTekFM9lxZyP.jpg	63401	Three brother bears awkwardly attempt to find their place in civilized society, whether they're look
craig-of-the-creek	series	Craig of the Creek	2018	11	6	Animation|Action|Adventure|Comedy|Family	TV-Y7	Hulu on Disney+	3	5	tense|comedic|gentle|nostalgic|rewatchable	1	en	/u4LaONJSBi0khRe2L8nqBk81dlc.jpg	79061	Craig and his two friends, Kelsey and JP, embark on adventures in the untamed wilderness of the Cree
sailor-moon	series	Sailor Moon	1992	24	5	Action|Adventure|Animation|Comedy|Sci-Fi|Fantasy|Family|Anime	TV-PG	Hulu on Disney+	1	5	tense|comedic|gentle|comfort-watch|emotional|anime	1	ja	/m0e8QxAM0n3XK9GPvkxzRB0YL4k.jpg	3570	One day, Usagi Tsukino, clumsy 2nd-year middle school student, stumbles upon a talking cat named Lun
kim-possible	series	Kim Possible	2002	22	4	Animation|Action|Adventure|Comedy|Family	TV-G	Disney	3	4	tense|comedic|gentle|rewatchable	1	en	/qsDNX8DPwWydDn9oUIhe1WcTuUH.jpg	2345	If there's danger or trouble, Kim Possible is there on the double to save the world from villains...
